Ana Cabelos,Salões de Beleza e Cabeleireiros,Cidade da Esperança,(84) 3205-6056,"Av Rio Grande do Norte, 77",59070-500
Rn Pré-moldadas,Pré Moldados,Nossa Senhora da Apresentação,(84) 3663-5341,"R Deputado Joaquim Inácio de Carvalho Neto, 116 - CS A",59115-695
Intersistemas,Desenvolvimento de Softwares e Aplicativos,Capim Macio,(84) 98855-9171,"R Missionário Joel Carlson, 1993 - SL 1",59082-130
Tio San,Lanchonetes,Nossa Senhora da Apresentação,(84) 98834-1787,"Av Santarém, 513",59114-200
Rocha Cimento,Casa de Material de Construção,Cidade Alta,(84) 3331-3693,"R Ulisses Caldas, 272 - SALA 105",59025-090
Condomínio Aldeia Do Sol,Condomínios,Capim Macio,(84) 3231-4251,"R Industrial João Motta, 1550 - AP 102",59082-410
Diana De M Alves Pousada,Hotéis,Ponta Negra,(84) 99632-5253,"R Praia do Zumbi, 9004",59094-440
R 2 Promo,Agências de Cobrança,Cidade Alta,(84) 3201-4483,"R Voluntários da Pátria, 736",59025-530
Autorizada Britânia Molore,Assistência Técnica para Eletrodomésticos,Alecrim,(84) 3223-2013,"R dos Canindés, 1329",59030-600
Restaurante Basilico's,Restaurante,Tirol,(84) 3211-0145,"Av Rodrigues Alves, 433",59020-200
Salinas,Agências e Revendedores de Automóveis,Candelária,(84) 4006-1220,"Av Dão Silveira, 3540",59066-180
Marítima Flat,Hotéis,Ponta Negra,(84) 3219-3535,"R Pedro Fonseca Filho, 295",59090-080
Supermercado Avelino,Supermercados,Nossa Senhora da Apresentação,(84) 3664-2172,"Av Maranguape, 2433",59114-000
Salão De Beleza Iracema E Renata,Salões de Beleza e Cabeleireiros,Cidade Alta,(84) 3222-1114,"R Coronel Cascudo, 322 - c-B",59025-260
Josenildo Olegário Da Silva,Chaveiros,Lagoa Azul,(84) 99925-7726,"Av da Chegança, 3056 - LJ C",59138-000
Farmácia Atual,Farmácias e Drogarias,Capim Macio,(84) 99113-1328,"R Walter Duarte Pereira, 1527 - LOJA C",59082-470
J. Da Mota Júnior,Empresas Variadas,Neópolis,(84) 98868-5457,"Av das Alagoas, 100",59086-200
Belamix,Lojas de Cosméticos e Perfumarias,Cidade Alta,(84) 98812-7072,"R Princesa Isabel, 461 - LOJA 24",59025-400
Evanize Franca De Souza,Casa de Material de Construção,Alecrim,(84) 98717-2571,"Av Governador Rafael Fernandes, 896",59040-040
Josias Rufino Da Silva,Distribuidores de Bebidas,Potengi,(84) 98714-9771,"R Conceição de Macabu, 2794",59110-050
Zn Bass Equipadora,Autopeças e Acessórios,Potengi,(84) 3663-6592,"Av Itapetinga, 2097 - LJ B",59124-400
Medeiros Serviços E Representações,Salões de Beleza e Cabeleireiros,Cidade da Esperança,(84) 98703-0155,"Av Perimetral Sul, 950 - BL B AP 103",59071-550
Francisco Paulo Barbosa Da Silva,Produtos e Serviços Diversos,Nossa Senhora da Apresentação,(84) 98827-3834,"Av Boa Sorte, 572 - CAB",59114-250
Damião Barbosa De Almeida,Funilaria e Pintura,Dix-sept Rosado,(84) 3613-1996,"Av Interventor Mário Câmara, 2299 - LOJA C",59060-600
Pedro Dourado Duarte,Distribuidores de Bebidas,Neópolis,(84) 99917-1717,"Av dos Ipês, 245",59080-115
Maria Das Neves Da Silva,Distribuidores de Bebidas,Quintas,(84) 98864-1969,"R Manoel André, 166",59035-180
Manoel Sidnesio Gomes De Moura,Contadores e Escritórios de Contabilidade,Cidade Alta,(84) 3082-9574,"R Escoteiro Andante, 49 - SALA 02",59025-230
Wagner Pinheiro Costa De Souza,Distribuidores de Bebidas,Felipe Camarão,(84) 99168-7272,"R Padre João Maria, 169",59072-460
