Maria Sônia Santos De Paiva,Roupas e Artigos,Cidade Alta,(84) 3222-0992,"R Vigário Bartolomeu, 113 - BL 409",59025-100
Cinderela Moda E Perfumaria,Salões de Beleza e Cabeleireiros,Ponta Negra,(84) 98822-6059,"R Luiz Estevam, 2285 - LJ 1",59090-175
Graphic Set,Assistência Técnica para Informática,Nossa Senhora da Apresentação,(84) 99111-1130,"R Santa Felicidade, 925",59114-390
Inforservice,Assistência Técnica para Informática,Lagoa Seca,(84) 3223-9696,"R Álvaro Carrilho, 238",59032-070
Cabelos E Cia,Salões de Beleza e Cabeleireiros,Candelária,(84) 99974-3778,"R Isabel Gondim, 1980",59065-160
O Bom Da Serra,Restaurante,Lagoa Nova,(84) 3206-0954,"Av Nascimento de Castro, 1790",59056-450
F Souza Papelaria,Assistência Técnica para Informática,Igapó,(84) 99926-0465,"Av Doutor João Medeiros Filho, 321",59104-200
Forma Íntima,Roupas e Artigos,Lagoa Nova,(84) 96431-4311,"Av Antônio Basílio, 3003 - SL 104",59056-015
V & E Teleinformática,Assistência Técnica para Informática,Nossa Senhora Nazaré,(84) 3205-5198,"Av Lima e Silva, 16 - SL 1",59062-300
Peformance,Cursos de Recrutamento e Seleção,Ponta Negra,(84) 99927-9837,"R Tenente Olavo Francisco dos Santos, 100 - AP 2104 B 1 T 1",59092-540
Nega Bonita,Roupas e Artigos,Capim Macio,(84) 99107-4520,"R Professor Antônio Henrique de Melo, 15 - Q 11 BL D",59078-580
Mercadinho Boas Novas,Supermercados,Planalto,(84) 3205-7733,"R Agrestina, 41 - AND 1",59073-270
M M De A Santos,Roupas e Artigos,Cidade Alta,(84) 3211-4502,"R João Pessoa, 194",59025-500
Sacil Construções,Construção Civil,Tirol,(84) 99986-0254,"R General Oliveira Galvão, 1150 - FDS",59015-120
Construtora Guia,Construção Civil,Alecrim,(84) 99981-1956,"R Doutor Mário Negócio, 1582",59040-000
P Roberto Da Silva,Distribuidores de Gás,Potengi,(84) 3215-4554,"R Miracema, 2222",59110-150
Referenzza,Roupas e Artigos,Pajuçara,(84) 98808-7695,"Av Doutor João Medeiros Filho, 4357 - AND 1 LJ 7",59122-365
Iara Cabeleireira,Salões de Beleza e Cabeleireiros,Lagoa Seca,(84) 3213-3601,"R Jaguarari, 1875 - s-10",59032-620
Referenzza,Roupas e Artigos,Pajuçara,(84) 98808-7695,"Av Doutor João Medeiros Filho, 4357 - AND 1 LJ 7",59122-365
Iara Cabeleireira,Salões de Beleza e Cabeleireiros,Lagoa Seca,(84) 3213-3601,"R Jaguarari, 1875 - s-10",59032-620
Wrt Turismo,Agências de Turismo e Viagens,Neópolis,(84) 3217-4242,"Av das Alagoas, 358 - s-6",59086-200
Eco Office,Gráficas,Tirol,(84) 3611-3266,"Av Prudente de Morais, 850",59020-510
Lany Atelier Da Beleza,Salões de Beleza e Cabeleireiros,Petrópolis,(84) 98892-4275,"R Potengi, 348 - SL 1",59020-030
Fox - Locação De Mão De Obra,Mão de Obra Temporária,Nordeste,(84) 98109-0889,"R Tomé de Souza, 876",59042-160
Popular Casa Do Bolo,Padarias e Confeitarias,Alecrim,(84) 99441-3100,"R Doutor Mário Negócio, 1429",59040-000
Incorporadora Solar Mares,Empreendimentos Imobiliários,Ponta Negra,(84) 3236-4265,"R da Lagosta, 1285 - AP 1201",59090-500
